time,20.0–26.0N,26.0–30.0N,30.0–34.2N
2022-07-24 17:00:00,2.451368051055502e-11,3.29023514537656e-11,3.8663541303297986e-11
2022-07-24 18:00:00,2.4250755916472133e-11,3.2674628661437074e-11,3.9228807950278044e-11
2022-07-24 19:00:00,2.3967344503310953e-11,3.251143548007429e-11,3.9642162967824697e-11
2022-07-24 20:00:00,2.365245254673157e-11,3.2369207564322603e-11,3.988008186037718e-11
2022-07-24 21:00:00,2.3434044550590656e-11,3.2300926373870204e-11,4.0047948705531526e-11
2022-07-24 22:00:00,2.330747162141461e-11,3.227454236381349e-11,4.0169498973100594e-11
2022-07-24 23:00:00,2.3193065120806618e-11,3.225127179833459e-11,4.019467972168015e-11
2022-07-25 00:00:00,2.3023409547717124e-11,3.225321699197788e-11,4.012386063839188e-11
2022-07-25 01:00:00,2.2803931859540337e-11,3.2249400599133536e-11,3.9957647020017863e-11
2022-07-25 02:00:00,2.2600990216475788e-11,3.2194572847499545e-11,3.9723528829398775e-11
2022-07-25 03:00:00,2.2449473848084847e-11,3.18851170834392e-11,3.9402954017724154e-11
2022-07-25 04:00:00,2.234488769120485e-11,3.135568865126836e-11,3.904475918823887e-11
2022-07-25 05:00:00,2.2253750089464544e-11,3.0738634619048194e-11,3.871229134921529e-11
2022-07-25 06:00:00,2.2102042305344233e-11,2.995246569501631e-11,3.842601205840198e-11
2022-07-25 07:00:00,2.1807508655997904e-11,2.9172467202410964e-11,3.814937493151445e-11
2022-07-25 08:00:00,2.1404512624272373e-11,2.8503526074815506e-11,3.7843241601371393e-11
2022-07-25 09:00:00,2.1083600206275487e-11,2.810499006181083e-11,3.751157545787247e-11
2022-07-25 10:00:00,2.0769754880020916e-11,2.7831409702504004e-11,3.716376668616301e-11
2022-07-25 11:00:00,2.0327513226143872e-11,2.7489358781506198e-11,3.6825353555061924e-11
2022-07-25 12:00:00,1.9952570586834006e-11,2.733569198522724e-11,3.6460927516979864e-11
2022-07-25 13:00:00,1.958992350984234e-11,2.7364983113827423e-11,3.607142323602524e-11
2022-07-25 14:00:00,1.9139264012294728e-11,2.743533549195907e-11,3.5676643994843396e-11
2022-07-25 15:00:00,1.8801846043028147e-11,2.753278411032576e-11,3.5335272485372964e-11
2022-07-25 16:00:00,1.856415049399973e-11,2.7651949036095684e-11,3.50347683247886e-11
2022-07-25 17:00:00,1.8324431994540835e-11,2.7794402536184037e-11,3.4729721023991255e-11
2022-07-25 18:00:00,1.8276385061078177e-11,2.7936502578807057e-11,3.449903721743261e-11
2022-07-25 19:00:00,1.8396356688108034e-11,2.8084602343637292e-11,3.43274942824991e-11
2022-07-25 20:00:00,1.859174808912691e-11,2.8247193158546485e-11,3.415874602855504e-11
2022-07-25 21:00:00,1.8915034032520315e-11,2.8316106001659518e-11,3.397790759025681e-11
2022-07-25 22:00:00,1.9317711093193827e-11,2.8308327780870435e-11,3.379017567370713e-11
2022-07-25 23:00:00,1.9728728986286097e-11,2.8276814499874047e-11,3.360577000162021e-11
2022-07-26 00:00:00,2.0021880939664108e-11,2.801844171879567e-11,3.3223517711999e-11
2022-07-26 01:00:00,2.0210912768405068e-11,2.7644526300788264e-11,3.269307854933884e-11
2022-07-26 02:00:00,2.038411067103812e-11,2.7340542914017625e-11,3.215820356255447e-11
2022-07-26 03:00:00,2.055867561213858e-11,2.7221896073251218e-11,3.1838748421514035e-11
2022-07-26 04:00:00,2.077743743981648e-11,2.7237596628491205e-11,3.170059525557146e-11
2022-07-26 05:00:00,2.1095990512048334e-11,2.7307861569303037e-11,3.159729709001811e-11
2022-07-26 06:00:00,2.150622969178913e-11,2.765793946212987e-11,3.167193885043669e-11
2022-07-26 07:00:00,2.2009662499013496e-11,2.8240054290231142e-11,3.1872506638730065e-11
2022-07-26 08:00:00,2.24822718032793e-11,2.8919599211653812e-11,3.208432469528939e-11
2022-07-26 09:00:00,2.262902547434463e-11,2.956371993551327e-11,3.2432043598873524e-11
2022-07-26 10:00:00,2.2428443224154262e-11,3.008463966644371e-11,3.286378571674224e-11
2022-07-26 11:00:00,2.204351585244137e-11,3.051963362433571e-11,3.3285774728960475e-11
2022-07-26 12:00:00,2.1648484768557568e-11,3.082446129517319e-11,3.3491942592195534e-11
2022-07-26 13:00:00,2.1301213400025535e-11,3.105615644142351e-11,3.353638430797135e-11
2022-07-26 14:00:00,2.098009011265097e-11,3.129241483524329e-11,3.356900852422187e-11
2022-07-26 15:00:00,2.087770620442311e-11,3.1322050257738e-11,3.3539781408700607e-11
2022-07-26 16:00:00,2.0939743509162642e-11,3.121213710556355e-11,3.347477081715228e-11
2022-07-26 17:00:00,2.1031560979425198e-11,3.111741448336259e-11,3.3413281421162154e-11
2022-07-26 18:00:00,2.132871193257968e-11,3.0848042596948456e-11,3.325847519313612e-11
2022-07-26 19:00:00,2.1731355773860953e-11,3.0453907855834894e-11,3.303945946674137e-11
2022-07-26 20:00:00,2.2063317404821792e-11,3.0064176676407796e-11,3.282473327832128e-11
2022-07-26 21:00:00,2.2144115563125592e-11,2.9890703358851576e-11,3.2757106248885704e-11
2022-07-26 22:00:00,2.2020241620159997e-11,2.986902562997479e-11,3.277949369371379e-11
2022-07-26 23:00:00,2.1821082835713213e-11,2.9827204523747684e-11,3.277670652941764e-11
2022-07-27 00:00:00,2.1604755233680355e-11,2.998150075056024e-11,3.2765580517129875e-11
2022-07-27 01:00:00,2.1341601127480657e-11,3.027853230362261e-11,3.2747765626411715e-11
2022-07-27 02:00:00,2.102510506214949e-11,3.0565356279119075e-11,3.271876063677337e-11
2022-07-27 03:00:00,2.073185620325615e-11,3.070402285444994e-11,3.2665564084846494e-11
2022-07-27 04:00:00,2.050569111645105e-11,3.075829022608309e-11,3.259572311780295e-11
2022-07-27 05:00:00,2.033551146585184e-11,3.0838876685052156e-11,3.251943810792406e-11
2022-07-27 06:00:00,2.0042598342046547e-11,3.0881495409193e-11,3.258440261323817e-11
2022-07-27 07:00:00,1.9676858648804247e-11,3.089331956672148e-11,3.2744537147828384e-11
2022-07-27 08:00:00,1.9347217238306514e-11,3.092677469886999e-11,3.2885063277542007e-11
2022-07-27 09:00:00,1.9128656044031253e-11,3.093358758334457e-11,3.299011620103622e-11
2022-07-27 10:00:00,1.896175713425918e-11,3.0919900755265493e-11,3.306023818470514e-11
2022-07-27 11:00:00,1.8782671226813107e-11,3.0914408162230886e-11,3.310548727656823e-11
2022-07-27 12:00:00,1.86719724788774e-11,3.087909762305114e-11,3.3078045021324535e-11
2022-07-27 13:00:00,1.85926394169394e-11,3.0832371622890386e-11,3.2993202121091055e-11
2022-07-27 14:00:00,1.8535478183021745e-11,3.080336798573101e-11,3.289273828128564e-11
2022-07-27 15:00:00,1.8554369737010325e-11,3.0805941725403526e-11,3.281887221564339e-11
2022-07-27 16:00:00,1.867340261747186e-11,3.082938465642946e-11,3.2778066120391676e-11
2022-07-27 17:00:00,1.8889764713995013e-11,3.085564618174814e-11,3.275254476694682e-11
2022-07-27 18:00:00,1.936555165451304e-11,3.081776021199481e-11,3.2605297226955455e-11
2022-07-27 19:00:00,1.9978262336775054e-11,3.072336999420818e-11,3.237093869416707e-11
2022-07-27 20:00:00,2.0545125096652852e-11,3.0620356405623535e-11,3.213694412960924e-11
2022-07-27 21:00:00,2.1121562560911025e-11,3.0669945316843355e-11,3.198799389957061e-11
2022-07-27 22:00:00,2.167291133418875e-11,3.0872478986262917e-11,3.188523250648393e-11
2022-07-27 23:00:00,2.2153817852989955e-11,3.114230581598955e-11,3.176726794349719e-11
2022-07-28 00:00:00,2.2502557124135488e-11,3.1486297500185105e-11,3.168711937645025e-11
2022-07-28 01:00:00,2.275766842577476e-11,3.188820423709389e-11,3.1622426116022984e-11
2022-07-28 02:00:00,2.2991633614947227e-11,3.229672830554326e-11,3.154168833496377e-11
2022-07-28 03:00:00,2.287489489328697e-11,3.246781224159127e-11,3.1508480745592303e-11
2022-07-28 04:00:00,2.2503668617937755e-11,3.250081706219155e-11,3.1516085305743784e-11
2022-07-28 05:00:00,2.2150608691710586e-11,3.264689751288578e-11,3.152846341484885e-11
2022-07-28 06:00:00,2.1698354340455562e-11,3.2825382415105625e-11,3.164622768994247e-11
2022-07-28 07:00:00,2.1182898020919906e-11,3.3093189058449834e-11,3.183270692118136e-11
2022-07-28 08:00:00,2.066950689854702e-11,3.356146793654566e-11,3.201911314928053e-11
2022-07-28 09:00:00,2.0335019442737063e-11,3.431691324033209e-11,3.2165856239598864e-11
2022-07-28 10:00:00,2.0067118395885305e-11,3.5215682246600045e-11,3.228459015023503e-11
2022-07-28 11:00:00,1.9715923116846883e-11,3.605272867759369e-11,3.240208102402955e-11
2022-07-28 12:00:00,1.9464965450549886e-11,3.6797621152894276e-11,3.2418315737303e-11
2022-07-28 13:00:00,1.92771303895461e-11,3.745018621958847e-11,3.2364127978188924e-11
2022-07-28 14:00:00,1.905239118354539e-11,3.799860881817281e-11,3.231671473445505e-11
2022-07-28 15:00:00,1.890908591323637e-11,3.835134848923518e-11,3.220528649165138e-11
2022-07-28 16:00:00,1.8849372758546675e-11,3.855083726180314e-11,3.20688462966423e-11
2022-07-28 17:00:00,1.882120085635581e-11,3.8693458957346e-11,3.196376726892532e-11
2022-07-28 18:00:00,1.892145830938683e-11,3.879829723197218e-11,3.188570285799827e-11
2022-07-28 19:00:00,1.911290632289824e-11,3.8882395219684804e-11,3.183625953827355e-11
2022-07-28 20:00:00,1.931750939298655e-11,3.8949123258300714e-11,3.1807427291445016e-11
2022-07-28 21:00:00,1.966822828201357e-11,3.893833876534259e-11,3.1848284227793647e-11
2022-07-28 22:00:00,2.0081321024761138e-11,3.883963633817949e-11,3.194436778227398e-11
2022-07-28 23:00:00,2.0384661611961924e-11,3.8689282822295164e-11,3.2055732076708176e-11
2022-07-29 00:00:00,2.0364469997831804e-11,3.8590682108804196e-11,3.2226993394405045e-11
2022-07-29 01:00:00,2.017890405939232e-11,3.8419943784802386e-11,3.244773735239931e-11
2022-07-29 02:00:00,2.0025937143002986e-11,3.812173437616434e-11,3.2674912278721054e-11
2022-07-29 03:00:00,1.9776241928135877e-11,3.765574917168462e-11,3.3024681169638646e-11
2022-07-29 04:00:00,1.9552703499565484e-11,3.6938612333767575e-11,3.345655079094854e-11
2022-07-29 05:00:00,1.9449675516241082e-11,3.606838546056735e-11,3.383619312254822e-11
2022-07-29 06:00:00,1.8966016808358164e-11,3.497868417949763e-11,3.410025578389292e-11
2022-07-29 07:00:00,1.819190150406375e-11,3.3822255680413254e-11,3.425349590111833e-11
2022-07-29 08:00:00,1.7428569150895915e-11,3.29229248518922e-11,3.4319391727829004e-11
2022-07-29 09:00:00,1.6230014346044e-11,3.153385862778052e-11,3.43010197363437e-11
2022-07-29 10:00:00,1.4768416805838856e-11,3.001736342286762e-11,3.4120578742642035e-11
2022-07-29 11:00:00,1.3414364766373424e-11,2.889139041500138e-11,3.3727342332288326e-11
2022-07-29 12:00:00,1.2124809316574408e-11,2.6318159419785837e-11,3.310409023231784e-11
2022-07-29 13:00:00,1.0939180477557903e-11,2.336412678309992e-11,3.1967254643301237e-11
2022-07-29 14:00:00,9.901368715054743e-12,2.115897660947784e-11,3.048454800227438e-11
2022-07-29 15:00:00,9.098243769709868e-12,1.9514647901876947e-11,2.8949461783208984e-11
2022-07-29 16:00:00,8.42013135019496e-12,1.8275102038625186e-11,2.7538202768216334e-11
