time,UT_SO4_frac,SO4_zc(km)
2022-07-20 00:00:00,0.8974342521159135,1.494418166805465
2022-07-20 01:00:00,0.8988044289637338,1.4923623448210386
2022-07-20 02:00:00,0.9003996855960537,1.4887413498593665
2022-07-20 03:00:00,0.902159131066055,1.4829442002811886
2022-07-20 04:00:00,0.9036180140079401,1.475492763196196
2022-07-20 05:00:00,0.9047162902881088,1.4688642864008699
2022-07-20 06:00:00,0.9060094837393994,1.4608301803648918
2022-07-20 07:00:00,0.9071479420646164,1.451643421340109
2022-07-20 08:00:00,0.907815308776776,1.4457385435761245
2022-07-20 09:00:00,0.9084668632318059,1.442227898052114
2022-07-20 10:00:00,0.9089320659056485,1.440478170112419
2022-07-20 11:00:00,0.9092118040960774,1.439158588699353
2022-07-20 12:00:00,0.9096958512027864,1.4363500491935324
2022-07-20 13:00:00,0.9102086342752798,1.4341144346843615
2022-07-20 14:00:00,0.9107306012740918,1.4322795661939072
2022-07-20 15:00:00,0.9113122024839737,1.428709889226208
2022-07-20 16:00:00,0.911783724684621,1.4246886246744734
2022-07-20 17:00:00,0.9120709090323861,1.421608625433846
2022-07-20 18:00:00,0.9127971212263919,1.416498400700548
2022-07-20 19:00:00,0.91357696841416,1.4128581577611579
2022-07-20 20:00:00,0.9142136635111954,1.4106864563060566
2022-07-20 21:00:00,0.9145697128818254,1.4092855117387497
2022-07-20 22:00:00,0.9148162250513782,1.4082744589516754
2022-07-20 23:00:00,0.9150207644209055,1.4071589305885766
2022-07-21 00:00:00,0.9155286634856846,1.405745477671087
2022-07-21 01:00:00,0.9160806592084989,1.4026127028961555
2022-07-21 02:00:00,0.9166435646842102,1.4010998674781434
2022-07-21 03:00:00,0.917491631505175,1.3994964320093766
2022-07-21 04:00:00,0.918184772660481,1.3953471140109397
2022-07-21 05:00:00,0.9185512160148418,1.3917230898895394
2022-07-21 06:00:00,0.918669510010803,1.3886270097716036
2022-07-21 07:00:00,0.9182692717390619,1.3843994431500941
2022-07-21 08:00:00,0.916940769852748,1.3826609817386202
2022-07-21 09:00:00,0.9153393698799335,1.3821308758672042
2022-07-21 10:00:00,0.9135731947869178,1.3826012327803292
2022-07-21 11:00:00,0.9117466612381812,1.3837784646926365
2022-07-21 12:00:00,0.9098666576658413,1.3859826220448317
2022-07-21 13:00:00,0.9077560269386232,1.3898082427041238
2022-07-21 14:00:00,0.9054072419646292,1.3947628899734974
2022-07-21 15:00:00,0.9027940402497114,1.400096777446752
2022-07-21 16:00:00,0.8999856523597339,1.405339623280652
2022-07-21 17:00:00,0.8973779436610025,1.4110615086362097
2022-07-21 18:00:00,0.8948773606299878,1.416121748298056
2022-07-21 19:00:00,0.8925223333419972,1.4205521312298646
2022-07-21 20:00:00,0.8906005647139974,1.424921146896944
2022-07-21 21:00:00,0.8891282811538521,1.4284702844650479
2022-07-21 22:00:00,0.8878283857805598,1.4292205856556914
2022-07-21 23:00:00,0.8871205339128456,1.429531554465518
2022-07-22 00:00:00,0.886998755469236,1.430980967041144
2022-07-22 01:00:00,0.8873949718456636,1.4301503948346845
2022-07-22 02:00:00,0.8883851370958608,1.4300668164214478
2022-07-22 03:00:00,0.8897696508120706,1.429928839605798
2022-07-22 04:00:00,0.8912650400732814,1.4269062121457403
2022-07-22 05:00:00,0.8926262914871762,1.4239796410520063
2022-07-22 06:00:00,0.8941865667852114,1.4213036967235027
2022-07-22 07:00:00,0.8954295621870355,1.415846872677425
2022-07-22 08:00:00,0.8961676778324342,1.4124670828597536
2022-07-22 09:00:00,0.8964962059652567,1.4115265681959974
2022-07-22 10:00:00,0.8965081303094169,1.4128895614036656
2022-07-22 11:00:00,0.8966104722533544,1.4137227304385642
2022-07-22 12:00:00,0.8968188698321964,1.4133583811001695
2022-07-22 13:00:00,0.8967831401893135,1.4132651138026548
2022-07-22 14:00:00,0.8968534157866983,1.4141838019742154
2022-07-22 15:00:00,0.8974063423294465,1.4148745951223958
2022-07-22 16:00:00,0.8977635741221636,1.4166931864620664
2022-07-22 17:00:00,0.8979959527327881,1.4197013868314914
2022-07-22 18:00:00,0.8982246654879873,1.4208011459434564
2022-07-22 19:00:00,0.8983344843154981,1.4204817370573763
2022-07-22 20:00:00,0.8984490267550217,1.4204254239187064
2022-07-22 21:00:00,0.8984151053353342,1.4203682102865498
2022-07-22 22:00:00,0.8983587006890228,1.4200475345318633
2022-07-22 23:00:00,0.8983228991981665,1.419325059186419
2022-07-23 00:00:00,0.8985187043813628,1.4179591802279503
2022-07-23 01:00:00,0.8991206806097365,1.41388498363229
2022-07-23 02:00:00,0.9000386968163754,1.4111060356034695
2022-07-23 03:00:00,0.9009745444830672,1.4094978063208017
2022-07-23 04:00:00,0.9017523103482513,1.4069531090882315
2022-07-23 05:00:00,0.9024826496771278,1.404527739533344
2022-07-23 06:00:00,0.9032823936348204,1.4024920108992385
2022-07-23 07:00:00,0.9037912542240444,1.3987972457189832
2022-07-23 08:00:00,0.9039981147780368,1.3965129004876775
2022-07-23 09:00:00,0.9041635048094417,1.396413709145071
2022-07-23 10:00:00,0.9043171919139024,1.3988158544290514
2022-07-23 11:00:00,0.9045227002030768,1.4010749452664104
2022-07-23 12:00:00,0.9047218490021572,1.4027027545422275
2022-07-23 13:00:00,0.9048514759592976,1.404183606143261
2022-07-23 14:00:00,0.9048885345146371,1.406053443000605
2022-07-23 15:00:00,0.9049520332643851,1.408243497966154
2022-07-23 16:00:00,0.9048029482959963,1.4123172726809274
2022-07-23 17:00:00,0.9046638059229691,1.4162830806228934
